key,2023_description,2018_description,cosine_similarity,2018_language,2023_language,2018_description_len,2023_description_len,similarity_bin,template,prompt,model,response,file,2018_quality,2018_feasiblity,2018_customer_segments,2018_value_propositions,2018_channels,2018_customer_relationships,2018_key_partners,2018_key_activities,2018_key_resources,2018_revenues,2018_costs,2023_quality,2023_feasiblity,2023_customer_segments,2023_value_propositions,2023_channels,2023_customer_relationships,2023_key_partners,2023_key_activities,2023_key_resources,2023_revenues,2023_costs
vehicle-parts-4-you,"Do you know what parts are most important? Vehicle parts are being manufactured all over the globe with precision and advanced technological methods. 5stars auto parts Vehicle  parts components or parts of the following types when they are either of general utility. Actually, 5stars auto parts vehicle parts specially adapted for a category of vehicle proper for this subclass.","Vehicle Parts 4 You carries a number of quality auto parts for both domestic and import model cars.  Most of these products are priced very low.  You save by shopping with VP4Y.

The website is designed for easy navigation so that you don't have to spend all of your time searching for products.  Get in and get out quickly without any hassle.  

When calling, emailing or using the live chat feature it is apparent that the company believes in quality customer service. Vehicle Parts 4 You ensures that each client is completely satisfied with their purchase. When shopping you can feel content that your money is well spent since the company offers the best prices possible and hassle free returns.",0.5443430588055408,en,en,120,59,"[0.5, 0.55)",../prompts/business_model.txt,"We would like your assistance with labeling the quality of a business description. 

We would like you to then provide an assessment of the overall quality of the 2018_description and the 2023_description. Each quality rating would be 1-10. The quality of the 2018_description should be given in the field '2018_quality' and be in the range 1-10. The quality of the 2023_description should be given in the field '2023_quality' and be in the range 1-10. 

key: vehicle-parts-4-you
---
2018_description:
 Vehicle Parts 4 You carries a number of quality auto parts for both domestic and import model cars.  Most of these products are priced very low.  You save by shopping with VP4Y.

The website is designed for easy navigation so that you don't have to spend all of your time searching for products.  Get in and get out quickly without any hassle.  

When calling, emailing or using the live chat feature it is apparent that the company believes in quality customer service. Vehicle Parts 4 You ensures that each client is completely satisfied with their purchase. When shopping you can feel content that your money is well spent since the company offers the best prices possible and hassle free returns.
 ---
2023_description:
 ---
 Do you know what parts are most important? Vehicle parts are being manufactured all over the globe with precision and advanced technological methods. 5stars auto parts Vehicle  parts components or parts of the following types when they are either of general utility. Actually, 5stars auto parts vehicle parts specially adapted for a category of vehicle proper for this subclass.

Sample output.
{'key': key
'2018_quality': 0,
'2023_quality': 0,
}",gpt-4-1106-preview,"{
  ""key"": ""vehicle-parts-4-you"",
  ""2018_quality"": 7,
  ""2023_quality"": 3
}",..\responses\2024-02-01_21-00-09.txt,7,,,,,,,,,,,3,,,,,,,,,,
renovia,"Renovia was a developer of prescription digital therapeutics for pelvic floor disorders. Renovia ceased operations in late 2022 after its investors conducted a strategic review including considering a sale of the company. In January 2023, substantially all the assets of the company, including its intellectual property, were sold to Axena Health, Inc.","Renovia Inc was formed to better diagnose, treat, and potentially improve the lives of millions of women through a platform of innovative sensor technologies combined with a digital health platform. This allows real time visualization and treatment of weakened pelvic floor muscles, while collecting actionable compliance and progress data on women’s pelvic health. Restoring pelvic health by strengthening pelvic floor muscles through clinically benefiting solutions is paramount to treating the underlying causes of Pelvic Floor Disorders.",0.5259598982650104,en,en,76,52,"[0.5, 0.55)",../prompts/business_model.txt,"We would like your assistance with labeling the quality of a business description. 

We would like you to then provide an assessment of the overall quality of the 2018_description and the 2023_description. Each quality rating would be 1-10. The quality of the 2018_description should be given in the field '2018_quality' and be in the range 1-10. The quality of the 2023_description should be given in the field '2023_quality' and be in the range 1-10. 

key: renovia
---
2018_description:
 Renovia Inc was formed to better diagnose, treat, and potentially improve the lives of millions of women through a platform of innovative sensor technologies combined with a digital health platform. This allows real time visualization and treatment of weakened pelvic floor muscles, while collecting actionable compliance and progress data on women’s pelvic health. Restoring pelvic health by strengthening pelvic floor muscles through clinically benefiting solutions is paramount to treating the underlying causes of Pelvic Floor Disorders.
 ---
2023_description:
 ---
 Renovia was a developer of prescription digital therapeutics for pelvic floor disorders. Renovia ceased operations in late 2022 after its investors conducted a strategic review including considering a sale of the company. In January 2023, substantially all the assets of the company, including its intellectual property, were sold to Axena Health, Inc.

Sample output.
{'key': key
'2018_quality': 0,
'2023_quality': 0,
}",gpt-4-1106-preview,"{
  ""key"": ""renovia"",
  ""2018_quality"": 8,
  ""2023_quality"": 6
}",..\responses\2024-02-01_21-00-13.txt,8,,,,,,,,,,,6,,,,,,,,,,
revolar,"Revolar creates and manufactures wearable tech that helps people keep themselves and their loved ones safe. Their 1-2-3 click alert system provides protection and peace of mind not only to their users but to their friends, family, and other loved ones who can receive status updates. All three levels of Revolar Alerts provide the users with GPS location via both text and email. Today, Revolar is the leader in the personal safety device industry. All Revolar devices use unique and patented technology. The company’s small and versatile device empowers individuals to stay safe through functionality that’s discreet and customizable.","Co-founder Jacqueline Ros developed the idea for Revolar wearables after her sister was assaulted as a teenager. Jacqueline found herself wishing her sister had been able to simply press a button to send for help.

So that’s exactly what Jacqueline set out to build with co-founder Andrea Perdomo.

Andrea joined the journey to start Revolar as she felt the need for this product hit home. Her family moved to the United States from Colombia after her grandmother was kidnapped for 8 months and always wondered what she could have done to prevent that. 

Today, the Revolar team has grown greatly, but we’re still dedicated to one goal — helping loved ones look after one another.

You deserve to feel safe when you're going out for a walk, a run, or a night on the town. That’s why we created our latest wearable, the Instinct. At the click of a button, it can let your loved ones know your GPS location and if you’re safe, scared, or in an emergency. Plus, Instinct has Check-ins, Step Tracking, Ring Me, and more, so you’ll love using it and having it by your side, every day.",0.5408240592337868,en,en,192,99,"[0.5, 0.55)",../prompts/business_model.txt,"We would like your assistance with labeling the quality of a business description. 

We would like you to then provide an assessment of the overall quality of the 2018_description and the 2023_description. Each quality rating would be 1-10. The quality of the 2018_description should be given in the field '2018_quality' and be in the range 1-10. The quality of the 2023_description should be given in the field '2023_quality' and be in the range 1-10. 

key: revolar
---
2018_description:
 Co-founder Jacqueline Ros developed the idea for Revolar wearables after her sister was assaulted as a teenager. Jacqueline found herself wishing her sister had been able to simply press a button to send for help.

So that’s exactly what Jacqueline set out to build with co-founder Andrea Perdomo.

Andrea joined the journey to start Revolar as she felt the need for this product hit home. Her family moved to the United States from Colombia after her grandmother was kidnapped for 8 months and always wondered what she could have done to prevent that. 

Today, the Revolar team has grown greatly, but we’re still dedicated to one goal — helping loved ones look after one another.

You deserve to feel safe when you're going out for a walk, a run, or a night on the town. That’s why we created our latest wearable, the Instinct. At the click of a button, it can let your loved ones know your GPS location and if you’re safe, scared, or in an emergency. Plus, Instinct has Check-ins, Step Tracking, Ring Me, and more, so you’ll love using it and having it by your side, every day.
 ---
2023_description:
 ---
 Revolar creates and manufactures wearable tech that helps people keep themselves and their loved ones safe. Their 1-2-3 click alert system provides protection and peace of mind not only to their users but to their friends, family, and other loved ones who can receive status updates. All three levels of Revolar Alerts provide the users with GPS location via both text and email. Today, Revolar is the leader in the personal safety device industry. All Revolar devices use unique and patented technology. The company’s small and versatile device empowers individuals to stay safe through functionality that’s discreet and customizable.

Sample output.
{'key': key
'2018_quality': 0,
'2023_quality': 0,
}",gpt-4-1106-preview,"{
  ""key"": ""revolar"",
  ""2018_quality"": 8,
  ""2023_quality"": 7
}",..\responses\2024-02-01_21-00-15.txt,8,,,,,,,,,,,7,,,,,,,,,,
favor,"Favor Delivery is a developer of a mobile and web-based food delivery application used to deliver restaurant-based food. Its service is a location-based mobile application and website portal that enable users to order food, groceries and more from stores and restaurants in the local area and delivers through courier at their door.","Favor is the easiest way to get anything you want in your city delivered to your door in under an hour. Whether it’s lunch at the office, a household shopping list or those errands you just don’t have time for — your personal assistant (we call them Runners) can deliver it in just a few taps. Founded in 2013, Favor is currently available in 50 cities across Texas, where it is currently the best rated delivery service. www.favordelivery.com",0.5283510533266371,en,en,78,52,"[0.5, 0.55)",../prompts/business_model.txt,"We would like your assistance with labeling the quality of a business description. 

We would like you to then provide an assessment of the overall quality of the 2018_description and the 2023_description. Each quality rating would be 1-10. The quality of the 2018_description should be given in the field '2018_quality' and be in the range 1-10. The quality of the 2023_description should be given in the field '2023_quality' and be in the range 1-10. 

key: favor
---
2018_description:
 Favor is the easiest way to get anything you want in your city delivered to your door in under an hour. Whether it’s lunch at the office, a household shopping list or those errands you just don’t have time for — your personal assistant (we call them Runners) can deliver it in just a few taps. Founded in 2013, Favor is currently available in 50 cities across Texas, where it is currently the best rated delivery service. www.favordelivery.com
 ---
2023_description:
 ---
 Favor Delivery is a developer of a mobile and web-based food delivery application used to deliver restaurant-based food. Its service is a location-based mobile application and website portal that enable users to order food, groceries and more from stores and restaurants in the local area and delivers through courier at their door.

Sample output.
{'key': key
'2018_quality': 0,
'2023_quality': 0,
}",gpt-4-1106-preview,"{
  ""key"": ""favor"",
  ""2018_quality"": 8,
  ""2023_quality"": 7
}",..\responses\2024-02-01_21-00-17.txt,8,,,,,,,,,,,7,,,,,,,,,,
briefcase,"Briefcase provides colleges with a tool that exposes students to all jobs relevant to their career paths in an easy to use platform. It gives schools a tool that exposes students to all jobs on the web while keeping the jobs relevant to the student, and the user experience as simple and clean as possible. At the same time allowing the school to monitor students’ experiences while using the product and gain valuable insight through easy-to-understand metrics. Briefcase Smart Technology allows students to set up their profile once, upload their resume once, and begin searching for jobs. With their white-labeled platform, implementation strategy, and an easy-to-use dashboard, they save time, money and help make sense of the data to ensure the instant and accurate figures on what students are acquiring jobs.","""More than 40 percent of recent U.S. college graduates are underemployed...""  ""Fewer than half of college graduates from (2009 on) found their first job within 12 months of graduating..."". The kind of data they need is longitudinal data…what they need is better outcomes data from higher education institutions so that they know over time what models are the most successful for people, so parents and students can make a determination about what works well for them.
The major challenges facing most university and college placement offices is assuring their students the broadest possible exposure to employment opportunities, followed closely by analysis of prior student employment outcomes, by major, location or other cohort factors. Briefcase solves both issues, beginning with optimizing employment exposure. Several major universities, representing over 189k students are already committed to the use of The Briefcase Platform to offset this issue and to bring transparency to their ecosystem.

The present problem may be broken into two large categories; first: assisting current graduates in finding the best full-time employment opportunities given their own and related circumstances, and two: tracking, analyzing and reporting to aspirant graduates, their advisors and supporters as to the current and projected opportunities and outcomes associated with various areas (majors) of studies, eventually growing to include comparison between majors based on institution.",0.5159852138102494,en,en,216,131,"[0.5, 0.55)",../prompts/business_model.txt,"We would like your assistance with labeling the quality of a business description. 

We would like you to then provide an assessment of the overall quality of the 2018_description and the 2023_description. Each quality rating would be 1-10. The quality of the 2018_description should be given in the field '2018_quality' and be in the range 1-10. The quality of the 2023_description should be given in the field '2023_quality' and be in the range 1-10. 

key: briefcase
---
2018_description:
 ""More than 40 percent of recent U.S. college graduates are underemployed...""  ""Fewer than half of college graduates from (2009 on) found their first job within 12 months of graduating..."". The kind of data they need is longitudinal data…what they need is better outcomes data from higher education institutions so that they know over time what models are the most successful for people, so parents and students can make a determination about what works well for them.
The major challenges facing most university and college placement offices is assuring their students the broadest possible exposure to employment opportunities, followed closely by analysis of prior student employment outcomes, by major, location or other cohort factors. Briefcase solves both issues, beginning with optimizing employment exposure. Several major universities, representing over 189k students are already committed to the use of The Briefcase Platform to offset this issue and to bring transparency to their ecosystem.

The present problem may be broken into two large categories; first: assisting current graduates in finding the best full-time employment opportunities given their own and related circumstances, and two: tracking, analyzing and reporting to aspirant graduates, their advisors and supporters as to the current and projected opportunities and outcomes associated with various areas (majors) of studies, eventually growing to include comparison between majors based on institution.
 ---
2023_description:
 ---
 Briefcase provides colleges with a tool that exposes students to all jobs relevant to their career paths in an easy to use platform. It gives schools a tool that exposes students to all jobs on the web while keeping the jobs relevant to the student, and the user experience as simple and clean as possible. At the same time allowing the school to monitor students’ experiences while using the product and gain valuable insight through easy-to-understand metrics. Briefcase Smart Technology allows students to set up their profile once, upload their resume once, and begin searching for jobs. With their white-labeled platform, implementation strategy, and an easy-to-use dashboard, they save time, money and help make sense of the data to ensure the instant and accurate figures on what students are acquiring jobs.

Sample output.
{'key': key
'2018_quality': 0,
'2023_quality': 0,
}",gpt-4-1106-preview,"{
  ""key"": ""briefcase"",
  ""2018_quality"": 7,
  ""2023_quality"": 6
}",..\responses\2024-02-01_21-00-20.txt,7,,,,,,,,,,,6,,,,,,,,,,
remote-insights,"The swine market suffers from lack of experienced workers resulting in missed observations of when animals are sick or should be inseminated or even accurately counting how many pigs are being shipped to market. We automate these observations 24x7 using machine learning, IoT and mobile applications to produce a 5x ROI.","Remote Insights is a team passionate about improving livestock wellbeing and operations. We have a combination of deep experience in livestock management and care, wireless and sensor design, data analytics and application development.  Drawing from experiences at livestock research and commercial institutions as well as NASA, Motorola, Google, and Lawrence Livermore National Labs, a truly novel solution has been created.",0.516067679096343,en,en,60,51,"[0.5, 0.55)",../prompts/business_model.txt,"We would like your assistance with labeling the quality of a business description. 

We would like you to then provide an assessment of the overall quality of the 2018_description and the 2023_description. Each quality rating would be 1-10. The quality of the 2018_description should be given in the field '2018_quality' and be in the range 1-10. The quality of the 2023_description should be given in the field '2023_quality' and be in the range 1-10. 

key: remote-insights
---
2018_description:
 Remote Insights is a team passionate about improving livestock wellbeing and operations. We have a combination of deep experience in livestock management and care, wireless and sensor design, data analytics and application development.  Drawing from experiences at livestock research and commercial institutions as well as NASA, Motorola, Google, and Lawrence Livermore National Labs, a truly novel solution has been created.
 ---
2023_description:
 ---
 The swine market suffers from lack of experienced workers resulting in missed observations of when animals are sick or should be inseminated or even accurately counting how many pigs are being shipped to market. We automate these observations 24x7 using machine learning, IoT and mobile applications to produce a 5x ROI.

Sample output.
{'key': key
'2018_quality': 0,
'2023_quality': 0,
}",gpt-4-1106-preview,"{
  ""key"": ""remote-insights"",
  ""2018_quality"": 7,
  ""2023_quality"": 8
}",..\responses\2024-02-01_21-00-22.txt,7,,,,,,,,,,,8,,,,,,,,,,
salesintel,"Get the best B2B data available with SalesIntel. With highest number of direct dials and human-verified contacts in the industry, SalesIntel is your resource for contact and business intelligence. Our combination of automation and researchers allows us to reach 95% data accuracy for all our published contact data while continuing to scale up our number of contacts. SalesIntel’s new method is to have every direct dial number, and email tested and re-verified every 90 days.  With the most comprehensive contact & company data and our excellent customer service, SalesIntel is your partner in growth.","SalesIntel is the relationship science platform for sales reps to connect, discover and leverage relationships. SalesIntel significantly reduces their user’s sales cycle by identifying the right relationship to leverage for quality introductions and actionable human insights.

For their corporate customers, SalesIntel enables their sales reps to identify who in their company or their partner network cares about the same accounts, has account insights and relationships that can be leveraged.

Unlike other public professional networks, our system generates a user's relationship graph automatically from CRM & Email systems. This graph includes relationship quality. We then create a private network between companies to enable collaborative selling between two partnering companies.",0.5488393409744673,en,en,108,94,"[0.5, 0.55)",../prompts/business_model.txt,"We would like your assistance with labeling the quality of a business description. 

We would like you to then provide an assessment of the overall quality of the 2018_description and the 2023_description. Each quality rating would be 1-10. The quality of the 2018_description should be given in the field '2018_quality' and be in the range 1-10. The quality of the 2023_description should be given in the field '2023_quality' and be in the range 1-10. 

key: salesintel
---
2018_description:
 SalesIntel is the relationship science platform for sales reps to connect, discover and leverage relationships. SalesIntel significantly reduces their user’s sales cycle by identifying the right relationship to leverage for quality introductions and actionable human insights.

For their corporate customers, SalesIntel enables their sales reps to identify who in their company or their partner network cares about the same accounts, has account insights and relationships that can be leveraged.

Unlike other public professional networks, our system generates a user's relationship graph automatically from CRM & Email systems. This graph includes relationship quality. We then create a private network between companies to enable collaborative selling between two partnering companies.
 ---
2023_description:
 ---
 Get the best B2B data available with SalesIntel. With highest number of direct dials and human-verified contacts in the industry, SalesIntel is your resource for contact and business intelligence. Our combination of automation and researchers allows us to reach 95% data accuracy for all our published contact data while continuing to scale up our number of contacts. SalesIntel’s new method is to have every direct dial number, and email tested and re-verified every 90 days.  With the most comprehensive contact & company data and our excellent customer service, SalesIntel is your partner in growth.

Sample output.
{'key': key
'2018_quality': 0,
'2023_quality': 0,
}",gpt-4-1106-preview,"{
  ""key"": ""salesintel"",
  ""2018_quality"": 8,
  ""2023_quality"": 9
}",..\responses\2024-02-01_21-00-24.txt,8,,,,,,,,,,,9,,,,,,,,,,
pakible,"PAKIBLE provides custom packaging services making it easy for businesses to create custom branded packaging. PAKIBLE offers fully customized retail packaging, shipping boxes or product containers, allowing businesses to choose the type and size of packaging and then customize it with their own text, logos, and colors. PAKIBLE is headquartered in San Francisco, California.","Pakible makes it easy for any business to create custom product packaging online. With Pakible, any company can fully customize and brand their own retail packaging, shipping boxes, or product containers.

1 million units in their first 3 months operating and growing 150% weekly.

The $850B packaging industry is highly fragmented with thousands of independent manufacturers who are strictly operational focused. Sourcing packaging still remains a painful 3 month process for most companies because it still operates over phone, email, & fax.

Pakible opens up the packaging infrastructure to any size company & manufacturer with their online platform.",0.5413990677062255,en,en,98,54,"[0.5, 0.55)",../prompts/business_model.txt,"We would like your assistance with labeling the quality of a business description. 

We would like you to then provide an assessment of the overall quality of the 2018_description and the 2023_description. Each quality rating would be 1-10. The quality of the 2018_description should be given in the field '2018_quality' and be in the range 1-10. The quality of the 2023_description should be given in the field '2023_quality' and be in the range 1-10. 

key: pakible
---
2018_description:
 Pakible makes it easy for any business to create custom product packaging online. With Pakible, any company can fully customize and brand their own retail packaging, shipping boxes, or product containers.

1 million units in their first 3 months operating and growing 150% weekly.

The $850B packaging industry is highly fragmented with thousands of independent manufacturers who are strictly operational focused. Sourcing packaging still remains a painful 3 month process for most companies because it still operates over phone, email, & fax.

Pakible opens up the packaging infrastructure to any size company & manufacturer with their online platform.
 ---
2023_description:
 ---
 PAKIBLE provides custom packaging services making it easy for businesses to create custom branded packaging. PAKIBLE offers fully customized retail packaging, shipping boxes or product containers, allowing businesses to choose the type and size of packaging and then customize it with their own text, logos, and colors. PAKIBLE is headquartered in San Francisco, California.

Sample output.
{'key': key
'2018_quality': 0,
'2023_quality': 0,
}",gpt-4-1106-preview,"{
  ""key"": ""pakible"",
  ""2018_quality"": 8,
  ""2023_quality"": 7
}",..\responses\2024-02-01_21-00-26.txt,8,,,,,,,,,,,7,,,,,,,,,,
eusoh,"The Eusoh (“you-so”) comprehensive community health plan is an all-in-one option that reimburses you for your pet's medical, wellness, illness, and routine care expenses. Eusoh's Community Plans provide the simplest and most cost-effective way to protect your pet. You pay a flat monthly fee and the allocated care contributions are used to reimburse members for veterinary expenses. Any unused care contributions are credited back to you every 12 months.","Eusoh is a new crowd-sharing software platform that provides an affordable and transparent way for consumers to share expenses using scalable technology and the power of community. Eusoh streamlines expense sharing by allowing consumers to select and join groups to crowd-share unexpected expenses. The platform is designed to avoid the costs of storing and collecting money that burden traditional risk-pooling models. Eusoh is built on patent-pending technology and is designed to give consumers more control, choice and transparency over their unexpected costs. Consumers create or join assembled groups by subscribing to Eusoh online. As costs reach higher or more rare levels, the platform scales to bring more members in as needed to help share expenses at a reasonable cost.
Eusoh is currently available as a solution for pet owners to form groups groups to share unexpected veterinary expenses.

Eusoh was founded in 2017 by Allen Kamrava, M.D., MBA. He founded Eusoh with a vision for organizing the power of community to provide a better, more affordable way for people to manage and share the unexpected expenses of life. The name Eusoh is derived from the term eusociality, the highest level of social organization in nature. ",0.5237140450813036,en,en,195,69,"[0.5, 0.55)",../prompts/business_model.txt,"We would like your assistance with labeling the quality of a business description. 

We would like you to then provide an assessment of the overall quality of the 2018_description and the 2023_description. Each quality rating would be 1-10. The quality of the 2018_description should be given in the field '2018_quality' and be in the range 1-10. The quality of the 2023_description should be given in the field '2023_quality' and be in the range 1-10. 

key: eusoh
---
2018_description:
 Eusoh is a new crowd-sharing software platform that provides an affordable and transparent way for consumers to share expenses using scalable technology and the power of community. Eusoh streamlines expense sharing by allowing consumers to select and join groups to crowd-share unexpected expenses. The platform is designed to avoid the costs of storing and collecting money that burden traditional risk-pooling models. Eusoh is built on patent-pending technology and is designed to give consumers more control, choice and transparency over their unexpected costs. Consumers create or join assembled groups by subscribing to Eusoh online. As costs reach higher or more rare levels, the platform scales to bring more members in as needed to help share expenses at a reasonable cost.
Eusoh is currently available as a solution for pet owners to form groups groups to share unexpected veterinary expenses.

Eusoh was founded in 2017 by Allen Kamrava, M.D., MBA. He founded Eusoh with a vision for organizing the power of community to provide a better, more affordable way for people to manage and share the unexpected expenses of life. The name Eusoh is derived from the term eusociality, the highest level of social organization in nature. 
 ---
2023_description:
 ---
 The Eusoh (“you-so”) comprehensive community health plan is an all-in-one option that reimburses you for your pet's medical, wellness, illness, and routine care expenses. Eusoh's Community Plans provide the simplest and most cost-effective way to protect your pet. You pay a flat monthly fee and the allocated care contributions are used to reimburse members for veterinary expenses. Any unused care contributions are credited back to you every 12 months.

Sample output.
{'key': key
'2018_quality': 0,
'2023_quality': 0,
}",gpt-4-1106-preview,"{
  ""key"": ""eusoh"",
  ""2018_quality"": 8,
  ""2023_quality"": 7
}",..\responses\2024-02-01_21-00-28.txt,8,,,,,,,,,,,7,,,,,,,,,,
rooster,"Rooster is a Mobile VoIP application for IOS, Andriod, Windows and Blackberry for cheap international calls and free calls between users Similarly to Rebtel, Rooster is Mobile VoIP operator offering free calls between users and generating revenue by offering very competitive international call rates (Up to 98% on operators, 50%on Skype, & 25% on Rebtel). Rooster is tremendously scalable with the possibility to expand operations to target foreign nationals in over 50 countries within 5 years. The Mobile VoIP Telephony market is currently worth £1.6bn and set to reach $32bn by 2019.","Rooster is a local sharing community where neighbors share free resources. The benefits of such a community are immense: from reducing our waste and our spending, to getting to know our neighbors, and spreading acts of kindness around us. As Rooster members, we practice unconditional giving and focus on contributing our share. Everything on Rooster is done for free without expectation of pay or reciprocity. We’re neighbors being neighbors again",0.5025506078702936,en,en,70,92,"[0.5, 0.55)",../prompts/business_model.txt,"We would like your assistance with labeling the quality of a business description. 

We would like you to then provide an assessment of the overall quality of the 2018_description and the 2023_description. Each quality rating would be 1-10. The quality of the 2018_description should be given in the field '2018_quality' and be in the range 1-10. The quality of the 2023_description should be given in the field '2023_quality' and be in the range 1-10. 

key: rooster
---
2018_description:
 Rooster is a local sharing community where neighbors share free resources. The benefits of such a community are immense: from reducing our waste and our spending, to getting to know our neighbors, and spreading acts of kindness around us. As Rooster members, we practice unconditional giving and focus on contributing our share. Everything on Rooster is done for free without expectation of pay or reciprocity. We’re neighbors being neighbors again
 ---
2023_description:
 ---
 Rooster is a Mobile VoIP application for IOS, Andriod, Windows and Blackberry for cheap international calls and free calls between users Similarly to Rebtel, Rooster is Mobile VoIP operator offering free calls between users and generating revenue by offering very competitive international call rates (Up to 98% on operators, 50%on Skype, & 25% on Rebtel). Rooster is tremendously scalable with the possibility to expand operations to target foreign nationals in over 50 countries within 5 years. The Mobile VoIP Telephony market is currently worth £1.6bn and set to reach $32bn by 2019.

Sample output.
{'key': key
'2018_quality': 0,
'2023_quality': 0,
}",gpt-4-1106-preview,"{
  ""key"": ""rooster"",
  ""2018_quality"": 8,
  ""2023_quality"": 7
}",..\responses\2024-02-01_21-00-30.txt,8,,,,,,,,,,,7,,,,,,,,,,
